x,y,theta
3.9575,-9.7639,-2.6151
3.9361,-9.7764,-2.6074
3.9162,-9.7910,-2.6155
3.8959,-9.8034,-2.6142
3.8733,-9.8168,-2.5812
3.8485,-9.8336,-2.5557
3.8257,-9.8485,-2.5436
3.8081,-9.8604,-2.5393
3.7936,-9.8765,-2.5468
3.7727,-9.8917,-2.4974
3.7551,-9.9049,-2.4996
3.7345,-9.9225,-2.4946
3.7133,-9.9388,-2.4570
3.6968,-9.9530,-2.4229
3.6778,-9.9781,-2.3752
3.6602,-9.9952,-2.3693
3.6427,-10.0162,-2.3431
3.6249,-10.0324,-2.3581
3.6071,-10.0503,-2.3528
3.5918,-10.0709,-2.3433
3.5754,-10.0912,-2.2906
3.5612,-10.1072,-2.2931
3.5463,-10.1309,-2.2886
3.5351,-10.1489,-2.2751
3.4270,-10.2989,-2.0894
3.4172,-10.3170,-2.0592
3.4045,-10.3394,-2.0262
3.3937,-10.3594,-2.0106
3.3847,-10.3916,-2.0421
3.2864,-10.6448,-1.8162
3.2829,-10.6762,-1.8009
3.2797,-10.7028,-1.7688
3.2749,-10.7275,-1.7526
3.2841,-10.7673,-1.7083
3.2805,-10.7926,-1.7091
3.2772,-10.8172,-1.7016
3.2758,-10.8418,-1.6984
3.2734,-10.8666,-1.6915
3.2704,-10.8919,-1.6719
3.2652,-10.9269,-1.6030
3.2637,-10.9512,-1.5967
3.2633,-10.9715,-1.5918
3.2699,-10.9961,-1.5929
3.2722,-11.0234,-1.5876
3.2719,-11.0481,-1.5799
3.2716,-11.0759,-1.5711
3.2715,-11.1022,-1.5653
3.2717,-11.1275,-1.5561
3.2747,-11.1539,-1.4937
3.2771,-11.1796,-1.4999
3.2788,-11.2044,-1.4957
3.2878,-11.2294,-1.4923
3.2925,-11.2538,-1.4879
3.2946,-11.2786,-1.4804
3.2969,-11.3033,-1.4725
3.3001,-11.3301,-1.4230
3.3037,-11.3559,-1.4299
3.3072,-11.3835,-1.4281
3.3107,-11.4089,-1.4232
3.3143,-11.4334,-1.4170
3.3204,-11.4578,-1.4058
3.3253,-11.4825,-1.4013
3.3296,-11.5074,-1.3961
3.3363,-11.5322,-1.3912
3.3415,-11.5564,-1.3870
3.3461,-11.5810,-1.3822
3.3529,-11.6085,-1.3776
3.3584,-11.6340,-1.3732
3.3633,-11.6586,-1.3685
3.3733,-11.6831,-1.3650
3.3801,-11.7076,-1.3611
3.3853,-11.7320,-1.3602
3.3847,-11.7598,-1.4047
3.3870,-11.7880,-1.4474
3.3899,-11.8151,-1.4982
3.3932,-11.8530,-1.5715
3.3927,-11.8842,-1.6362
3.3900,-11.9115,-1.7064
3.3851,-11.9451,-1.7845
3.3785,-11.9717,-1.8570
3.3701,-11.9972,-1.9334
3.3494,-12.0341,-2.0559
3.3369,-12.0515,-2.1178
3.2089,-12.1617,-2.7593
3.1809,-12.1661,-2.8499
3.0495,-12.1929,-3.0335
3.0111,-12.1907,-3.1250
2.9866,-12.1895,3.1030
2.9594,-12.1833,3.1051
2.9351,-12.1824,3.0915
2.9088,-12.1802,3.0122
2.8782,-12.1822,2.9708
2.8479,-12.1817,2.9504
2.8241,-12.1769,2.9394
2.7973,-12.1702,2.9556
2.7729,-12.1655,2.9486
2.7387,-12.1618,2.9391
2.7147,-12.1577,2.9338
2.6907,-12.1525,2.9249
2.6613,-12.1471,2.9164
2.6338,-12.1407,2.8583
2.6076,-12.1322,2.7882
2.5705,-12.1200,2.7110
2.5445,-12.1081,2.6993
2.5202,-12.0956,2.6251
2.4985,-12.0743,2.5694
2.4782,-12.0592,2.5623
2.4575,-12.0455,2.5542
2.4420,-12.0316,2.5589
2.4202,-12.0168,2.5109
2.3821,-11.9884,2.3734
2.3588,-11.9665,2.3385
2.3420,-11.9491,2.3301
2.3220,-11.9329,2.3551
2.3045,-11.9152,2.3443
2.2891,-11.8891,2.3327
2.2724,-11.8688,2.3243
2.2556,-11.8508,2.3167
2.2355,-11.8356,2.3102
2.2178,-11.8176,2.3047
2.2006,-11.7986,2.2891
2.1817,-11.7744,2.1765
2.1665,-11.7509,2.1036
2.1416,-11.7074,1.9717
2.1294,-11.6802,1.9444
2.1153,-11.6551,1.9434
2.1049,-11.6370,1.9523
2.0955,-11.6136,1.9463
2.0887,-11.5935,1.9398
2.0802,-11.5709,1.9307
2.0638,-11.5390,1.9140
2.0551,-11.5139,1.8353
2.0488,-11.4899,1.8299
2.0373,-11.4710,1.8166
2.0085,-11.3015,1.6998
2.0057,-11.2618,1.6907
2.0031,-11.2367,1.6836
2.0005,-11.2123,1.6765
1.9934,-11.1820,1.6650
1.9911,-11.1572,1.6592
1.9914,-11.1172,1.6726
1.9914,-11.0902,1.6697
1.9891,-11.0662,1.6668
1.9803,-11.0418,1.7021
1.9720,-11.0173,1.7373
1.9681,-10.9921,1.7253
1.9616,-10.9655,1.7189
1.9576,-10.9412,1.7207
1.9540,-10.9170,1.7225
1.9524,-10.8963,1.7335
1.9484,-10.8716,1.7349
1.9443,-10.8472,1.7366
1.9342,-10.8181,1.7393
1.9299,-10.7931,1.7436
1.9241,-10.7705,1.7424
1.9172,-10.7501,1.7405
1.9130,-10.7251,1.7417
1.9030,-10.6816,1.7420
1.8980,-10.6553,1.7411
1.8937,-10.6301,1.7404
1.8866,-10.6048,1.7345
1.8822,-10.5774,1.7127
1.8785,-10.5518,1.7151
1.8726,-10.5305,1.7120
1.8688,-10.5063,1.7074
1.8655,-10.4818,1.7069
1.8614,-10.4560,1.7015
1.8581,-10.4309,1.6989
1.8550,-10.4072,1.6973
1.8521,-10.3846,1.6957
1.8490,-10.3597,1.6938
1.8447,-10.3384,1.6924
1.8384,-10.3068,1.6884
1.8356,-10.2816,1.6857
1.8318,-10.2593,1.6846
1.8282,-10.2313,1.6825
1.8255,-10.2063,1.6813
1.8203,-10.1852,1.6800
1.8173,-10.1605,1.6791
1.8146,-10.1357,1.6751
1.8094,-10.1116,1.6760
1.8063,-10.0860,1.6752
1.8036,-10.0602,1.6745
1.7935,-10.0333,1.6695
1.7910,-10.0079,1.6664
1.7855,-9.9802,1.6666
1.7828,-9.9549,1.6658
1.7803,-9.9292,1.6684
1.7724,-9.9016,1.6901
1.7694,-9.8770,1.6907
1.7627,-9.8421,1.6995
1.7581,-9.8187,1.7007
1.7548,-9.7938,1.7008
1.7517,-9.7687,1.6991
1.7485,-9.7437,1.7005
1.7452,-9.7186,1.7047
1.7330,-9.6936,1.7040
1.7034,-9.4801,1.7086
1.6897,-9.4250,1.7052
1.6836,-9.3982,1.7038
1.6801,-9.3730,1.7072
1.6766,-9.3482,1.7095
1.6753,-9.3103,1.7109
1.6743,-9.2853,1.7101
1.6708,-9.2601,1.7109
1.6656,-9.2292,1.7138
1.6608,-9.2009,1.7613
1.6526,-9.1736,1.7815
1.6428,-9.1462,1.8004
1.6361,-9.1192,1.8386
1.6286,-9.0928,1.8861
1.6201,-9.0678,1.8946
